"ABA","ABA 脱落酸" 
"spectrofluorometer","spectrofluorometer 荧光分光光度计"
"speract","speract 精子活化肽[一种海胆卵肽，可刺激精子的呼吸]"
"spermatid","spermatid 精子细胞"
"spermatid","spermatid 精子细胞"
"spermatine","spermatine 精液蛋白"
"spermatium","spermatium 不动精子；性孢子"
"spermatium","spermatia(复)
spermatium
spermatia(复) 不动精子"
"spermatocyte","spermatocyte 精母细胞"
"spermatocyte","spermatocyte 精母细胞"
"spermatogenesis","spermatogenesis 精子发生"
"spermatogenesis","spermatogenesis 精子发生"
"spermatogonium","spermatogonium 精原细胞"
"spermatogonium","spermatogonium 精原细胞"
"spermatophore","spermatophore 精子包囊
简称“精包”。"
"spermatophore","spermatophore 精子包囊，精包"
"spermatophorin","spermatophorin 精包蛋白"
"spermatophyte","spermatophyte 种子植物"
"spermatozoid","spermatozoid 游动精子"
"spermatozoon","spermatozoa(复)
sperm
spermatozoon
spermatozoa(复)
sperm 精子"
"spermatozoon","spermatozoon 精子"
"spermidine","spermidine 牙精胺"
"spermine","spermine 精胺"
"spermiogenesis","spermiogenesis 精子形成
又称“精细胞变态”。"
"spermiogenesis","spermiogenesis 精子形成，精细胞变态"
"spermocenter","spermocenter 雄中心体"
"spermocenter","spermocenter 雄中心体"
"spermol","spermol 鲸蜡醇"
"spermospore","spermospore 精孢子"
"S phase","S phase S 期"
"spheroplast","spheroplast 原生质球，球形体"
"spherosome","spherosome 圆球体
见于植物。"
"spherospermium","spherospermia(复)
spherospermium
spherospermia(复) 无尾精子"
"spherospermium","spherospermium 无尾精子"
"sphingolipid","sphingolipid 鞘脂"
"sphingomyelin","sphingomyelin 鞘磷脂"
"sphingomyelinase","sphingomyelinase 鞘磷脂酶"
"sphingosine","sphingosine 鞘氨醇"
"spindle","spindle 纺锤体"
"spinner culture","spinner culture 旋动培养"
"spiperone","spiperone 螺旋哌丁苯"
"spiral cleavage","spiral cleavage 螺旋卵裂"
"spirilla","spirilla 螺旋菌"
"spiRochete","spiRochete 螺旋体"
"splenin","splenin 脾素[胸腺生成素的变体]"
"spliCEOsome","spliCEOsome 剪接体[赖以进行剪接的核糖核蛋白颗粒，含有前信使RNA及各种剪接因子]"
"spongin","spongin 海绵硬蛋白"
"sporangiospore","sporangiospore 胞囊孢子"
"sporangiospore","sporangiospore 包囊孢子，胞囊孢子"
"sporangium","sporangium 孢子囊，胞囊"
"spore","spore 孢子"
"sporocyte","sporocyte 孢母细胞"
"sporogenesis","sporogenesis 孢子发生"
"sporogonium","archesporium
sporogonium
archesporium 孢原细胞"
"sporoplasm","sporoplasm 孢原质"
"sporopollenin","sporopollenin 孢粉素，孢粉质"
"sporopollenin","sporopollenin 孢粉素"
"sporulation","sporulation 孢子形成"
"spot desmosome","spot desmosome 点状桥粒"
"spreading factor","spreading factor 铺展因子"
"squidulin","squidulin 乌贼蛋白[一种钙结合蛋白]"
"stack plate reactor","stack plate reactor 叠板反应器"
"stage micrometer","stage micrometer 镜台测微尺"
"stage specific","stage specific 时期专一"
"stagger","stagger 交错切口"
"staphylocoagulase","staphylocoagulase （葡萄球菌）凝固酶"
"staphylococcin","staphylococcin 葡萄球菌素"
"staphylokinase","staphylokinase 葡激酶"
"staphyloleukocidin","staphyloleukocidin 葡萄球菌杀白细胞素"
"staphylolysin","staphylolysin 葡萄球菌溶血（毒）素"
"star activity","star activity 星号活性"
"static culture","static culture 静置培养"
"statin","statin 抑制素"
"staurosporin","staurosporin 星形孢菌素[来自链霉菌的蛋白激酶C抑制剂]"
"stavudine","stavudine 【商】双脱氧胸苷"
"steapsase","steapsase 胰脂肪酶"
"steapsin","steapsin 胰脂肪酶"
"steel factor","steel factor 青灰因子[癌基因产物c-kit的配体，最初发现与小鼠的青灰色表型有关]"
"stele","stele 中柱"
"stem cell","stem cell 干细胞"
"stemonine","stemonine 百部碱"
"stercobilin","stercobilin 粪胆素"
"stercobilinogen","stercobilinogen 粪胆素原"
"stereomicroscope","dissecting microscope
stereomicroscope
dissecting microscope 立体显微镜
曾用名“解剖显微镜”。"
"sterigmatocystin","sterigmatocystin 柄曲霉素"
"sterility","sterility 不育性"
"stevioside","stevioside 蛇菊苷"
"stimulon","stimulon 刺激子[受同一环境因子诱导的多个调节子]"
"stipe","stipe 菌柄"
"stolon","stolon 匍匐茎；匍匐丝"
"strand displacement","strand displacement 链置换[线粒体及某些病毒DNA的复制方式，也用于描述一般性重组]"
"strepogenin","strepogenin 促长肽"
"streptavidin","streptavidin 链霉抗生素蛋白，链（霉）亲和素"
"streptobiosamine","streptobiosamine 链霉二糖胺"
"streptodornase","streptodornase 链球菌DNA酶，链道酶"
"streptogramin","streptogramin 链阳性菌素"
"streptokinase","streptokinase 链激酶"
"streptolydigin","streptolydigin 利迪链菌素"
"streptolysin","streptolysin 链球菌溶血素[包括链球菌溶血素O]"
"streptomycin","streptomycin 链霉素"
"streptonigrin","streptonigrin 链黑菌素"
"streptose","streptose 链霉糖"
"streptothricin","streptothricin 链丝菌素"
"stringent control","stringent control 应急控制[细菌子氨基酸饥饿时发生的rDNA、tRNA基因及核糖体蛋白基因停止转录的反应][细菌质粒拷贝数的]严紧型控制"
"stringent factor","stringent factor 应急因子[结合于核糖体的一种可启动应急控制的蛋白]"
"stroma","stroma 基质"
"stroma lamella","stroma lamella 基质片层"
"stroma-thylakoid","stroma-thylakoid 基质类囊体"
"stromatin","stromatin 基质蛋白"
"stromelysin","stromelysin 溶基质素，基质溶素[可溶解细胞外基质和基底膜成分的金属蛋白酶]"
"strophanthidin","strophanthidin 毒毛旋花（子）苷配基"
"strophanthin","strophanthin 毒毛旋花（子）苷"
"stuffer","stuffer 填充片段"
"sturin","sturin 鲟精蛋白"
"stuttering","stuttering 打滑，口吃[聚合酶连续重复拷贝模板中的某种核苷酸的现象]"
"subcellular","subcellular 亚细胞的"
"subclass","subclass 亚类"
"subclone","subclone 亚克隆"
"subclone","subclone 亚克隆"
"subcloning","subcloning 亚克隆[化]"
"subcloning","subcloning 亚克隆"
"subcompartment","subcompartment 亚区室"
"subcultring","subcultring 传代培养"
"subdomain","subdomain 亚域，亚区，亚（结构）域"
"suberification","suberification 栓化作用"
"suberization","suberization 栓化（作用）"
"subgene","subgene 亚基因"
"subgenomic","subgenomic [病毒糯米]次基因组的"
"subhymenium","subhymenium 子实下层[见于真菌]"
"sublibrary","sublibrary 子文库"
"submetacentric chromosome","submetacentric chromosome 近中着丝粒染色体"
"submitochondrial vesicle","submitochondrial vesicle 亚线粒体小泡"
"sub-protoplast","sub-protoplast 亚原生质体
植物原生质体分离所得到的不完整原生质体。"
"subtilin","subtilin 枯草菌素"
"subtilisin","subtilisin 枯草（杆菌）蛋白酶"
"succinoglycan","succinoglycan 琥珀酰聚糖"
"sucrase","sucrase 蔗糖酶"
"Sudan black B","Sudan black B 苏丹黑 B"
"sulfatase","sulfatase 硫酸酯酶"
"sulfatidase","sulfatidase 硫（脑）苷脂酶"
"sulfatide","sulfatide 硫（脑）肝脂"
"sulfhedryl","sulfhedryl 巯基，硫氢基"
"sulfoamide","sulfoamide 氨磺胺"
"sulfoethyl","sulfoethyl 磺乙基"
"sulfolipid","sulfolipid 硫脂"
"sulfopropyl","sulfopropyl 磺丙基"
"sulforaphane","sulforaphane 1-异硫氰基-4R-（甲基亚硫酰基）丁烷[来自蔬菜的抗癌物质]"
"sulfotransferase","sulfotransferase 磺基转移酶"
"sulfourea","sulfourea 硫脲"
"sulfurtransferase","sulfurtransferase 硫转移酶"
"superantigen","superantigen 超级抗原"
"supercoil","supercoil 超螺旋"
"supercoiling","supercoiling 超螺旋"
"superdominance","superdominance 超显性"
"superfamily","superfamily 超家族"
"superficial cleavage","superficial cleavage 表面卵裂"
"supergene family","supergene family 超基因家族[家族成员之间序列相关但功能未必相似]"
"superhelicity","superhelicity 超螺旋"
"superhelix","superhelix 超螺旋"
"superinduction","superinduction 超诱导"
"superingection","superingection 超感染"
"supernatant","supernatant 上清液，上清"
"supernumerary chromosome","accessory chromosome
extra-chromosome
B chromosome
supernumerary chromosome
accessory chromosome
extra-chromosome
B chromosome 超数染色体
又称“额外染色体”。"
"supernumerary nuclei","supernumerary nuclei 超数精核"
"superoperon","superoperon 超操纵子"
"superovulation","superovulation 超数排卵"
"superprecipitation","superprecipitation 超沉淀（作用）"
"superrepressed","superrepressed 超阻抑（作用）[因不能去阻抑而与非诱导型等同]"
"supersaturation","supersaturation 过饱和"
"supertwisting","supertwisting 超螺旋"
"supporting film","supporting film 支持膜"
"suppressor","suppressor 抑制基因，抑制因子"
"suppressor T cell","TS
suppressor T cell
TS 抑制[性]T细胞"
"supracomplotype","supracomplotype 超补体单元型"
"supramutagen","supramutagen 超诱变剂"
"supratype","supratype 超单元型"
"supravital staining","supravital staining 超活染色"
"suramin","suramin 苏拉明[药名]"
"surface replica","surface replica 表面复型"
"surface-spread method","surface-spread method 表面铺展法"
"surrogate","surrogate 替代（物），代理（者）"
"susceptibility","susceptibility 易感性，敏感性"
"susceptible","susceptible 易感的"
"suspension culture","suspension culture 悬浮培养"
"suspensoid","suspensoid 悬浮体"
"suspensor","suspensor 胚柄"
"swarming spore","swarming spore 涌动孢子"
"symbiont","symbiont 共生生物"
"symbiosis","symbiosis 共生"
"symplasm","symplasm 共质"
"symplasm","symplasm 共质"
"symplast","symplast 共质体"
"symplast","symplast 共质体"
"symport","symport 同向转运，共运输"
"symport","symport 共运输"
"synapse","synapse 突触"
"synapse","synapse 突触"
"synapsin","synapsin 突触蛋白"
"synapsis","syndesis
synapsis
syndesis 联会"
"synapsis","synapsis 联会"
"synaptic plane","synaptic plane 联会面"
"synaptobrevin","synaptobrevin 小突触（小）泡蛋白[见于小突触小泡的一种膜内在蛋白]"
"synaptogenesis","synaptogenesis 突触发生"
"synaptonemal complex","synaptonemal complex 联会复合体"
"synaptoneurosome","synaptoneurosome 突触神经小体"
"synaptophysin","synaptophysin 突触（小）泡蛋白"
"synaptoporin","synaptoporin 突触孔蛋白"
"synaptosome","synaptosome 突触小体"
"synaptotagmin","synaptotagmin 突触结合蛋白[见于突触前小泡的钙结合蛋白]"
"synchronization","synchronization 同步化"
"synchronogamy","synchronogamy 雌雄花同熟"
"syncolin","syncolin [微管]成束蛋白"
"syncytium","syncytium 合胞体"
"syncytium","syncytia(复)
syncytium
syncytia(复) 合胞体"
"syndecan","syndecan 多配体（蛋白）聚糖，共结合（蛋白）聚糖[兼有硫酸乙酰肝素和硫酸软骨素，可与基质、生长因子等结合]"
"syndesine","syndesine 联赖氨酸，羟赖氨酰醇"
"syndesis","syndesis 联会"
"synergid","synergid 助细胞"
"synergid","synergid 助细胞"
"synergism","synergism 协同作用"
"synergy","synergy 协同（作用）"
"synexin","synexin 会联蛋白[可介导分泌小泡的聚集]"
"syngamy","syngamy 融合生殖
又称“配子配合”。"
"syngamy","syngamy 融合生殖，配子配合"
"syngenic","syngenic 同系的"
"synkaryocyte","synkaryocyte 合核细胞"
"synkaryocyte","synkaryocyte 合核细胞"
"synkaryon","synkaryon 融核体
又称“合核体”。"
"synkaryon","synkaryon 融核体，合核体"
"synonym","synonym 同义词；同义密码子"
"syntaxin","syntaxin 突触融合蛋白[见于神经元的质膜，与突触小泡的停靠与融合有关]"
"synteny","synteny 同线型"
"synthase","synthase 合酶"
"synthesizer","synthesizer 合成仪"
"synthetase","synthetase 合成酶"
"synthon","synthon 合成子，合成单体"
"syntrophism","syntrophism 互养共栖"
"syntrophy","syntrophy 互养共栖"
"syringacin","syringacin 丁香假单胞菌素"
"syringe","syringe 注射器"
"syrup","syrup 糖浆，浆"
"systemin","systemin 系统素[来自番茄的一种18肽信号分子]"
"systole","systole 心缩期"
"S 期","S 期 S phase"
"tabun","tabun 塔崩，二甲氨基氰磷酸乙酯[有机磷毒物]"
"tachykinin","tachykinin 速激肽"
"tachysterol","tachysterol 速固醇，速甾醇"
"tacrine","tacrine 塔克林"
"tag","tag 标记（物），标志；尾（端）"
"tagatose","tagatose 塔格糖"
"tagging","tagging 标记"
"tail","tail 尾（部）；[噬菌体]尾部"
"tail growth","tail growth 尾增长[如用于描述聚合酶作用机理]"
"tailing","tailing 加尾"
"tailing peak","tailing peak 拖尾峰"
"tailpoxin","tailpoxin 泰攀蛇毒素"
"tail tube","tail tube [噬菌体]尾管"
"talin","talin 踝蛋白[膜下的一种细胞骨架蛋白，见于粘着斑]"
"talopeptide","talopeptide 端肽"
"talose","talose 塔罗糖"
"tamoxifen","tamoxifen 三苯氧胺"
"tandem enzyme","tandem enzyme 串联酶[同一多肽具有不同的酶活性]"
"tannase","tannase 鞣酸酶"
"tannin","tannin 鞣质，单宁"
"tannin red","tannin red 鞣红"
"taq DNA ligase","taq DNA ligase taq DNA连接酶"
"targeted","targeted 定向的"
"targeted toxin","targeted toxin 导向毒素"
"targeting sequencing","targeting sequencing 前导序列，导向序列"
"targeting signal","targeting signal 引导信号，导向信号"
"tautomerism","tautomerism 互变异构"
"tautomerization","tautomerization 互变异构化"
"tautomycin","tautomycin 互变霉素"
"taxis","taxis 趋（向）性"
"taxol","taxol 红豆杉醇，紫杉酚"
"taxon","taxon 分类单位，分类群"
"T-cell receptor","T-cell receptor T 细胞受体"
"T-dependent antigen","T-dependent antigen 依赖 T 的抗原"
"tectivirus","tectivirus 复层病毒[一类噬菌体]"
"tektin","tektin 筑丝蛋白[与中间丝相类似的一种可形成丝状聚体的蛋白]"
"telecrine","telecrine 远距分泌，远程分泌"
"teleocidin","teleocidin 杀鱼菌素"
"teliospore","teliospore 冬孢子"
"telocentric chromosome","telocentric chromosome 端着丝粒染色体"
"telomerase","telomerase 端粒（末端转移）酶"
